column1;accent;age_range;gender;location;province;userid
31;not-shared;range-40_49;masculino;not-shared;not-shared;2a3a6f00-4f9f-4aa3-a177-1e791402a99a
32;normativo;range-40_49;masculino;15004;15;e17edb3d-2711-4af6-a7e5-26244e275815
33;normativo;range-20_29;masculino;15031;15;dbd3a89c-f380-4ed3-8f0f-d06d57ff8fc8
34;normativo;range-30_39;femenino;not-shared;not-shared;4964e404-268a-4fbd-acee-2d84ba490caa
35;normativo;range-30_39;femenino;15030;15;552ef550-72bb-4f9f-8190-084d6313bd78
36;normativo;range-40_49;masculino;15078;15;77635528-1d47-4358-8eef-6ac0e3aa58b5
37;normativo;range-30_39;masculino;15078;15;3bb94d13-1ae2-4971-bbd7-98c38bd94bd3
38;central;range-40_49;masculino;36004;36;e7162c7a-9164-46f1-bb25-bb0b53d2e0d7
39;oriental;range-60_69;masculino;15005;15;f4833d03-e640-44f2-8c62-21af15f23a7a
40;normativo;range-40_49;femenino;15036;15;babc4b58-e88c-47f9-9543-851b0ae19a18
41;normativo;range-40_49;masculino;36057;36;42cc4fc3-dade-4e06-a723-de9c5c56937a
42;oriental;range-40_49;femenino;27042;27;3d269aa4-35ab-45ee-ab33-bdece97a45de
43;normativo;range-50_59;masculino;36057;36;feb9a62c-7589-4134-b7e7-5c6b305fe61d
44;oriental;range-30_39;femenino;32054;32;4ec867d3-887c-4d9d-a813-059c8ae4e7c9
45;normativo;range-40_49;masculino;32054;32;43b3ed81-7942-4134-829e-15b10b921cc7
46;neofalante;range-40_49;masculino;15075;15;0367321a-77fa-4814-8425-6262ce6a36bb
47;oriental;range-30_39;femenino;27042;27;f5ad9198-6569-4d7e-b065-cf26793f0a1b
48;not-shared;range-50_59;masculino;27042;27;5b5a1a91-2b92-4a0c-b343-998fcb61e21a
49;normativo;range-20_29;femenino;15036;15;bb45808e-9a5a-40db-ad9f-4f3b97e271cc
50;neofalante;range-70_79;femenino;32066;32;93cf3c99-197d-47f8-a430-239e8c9982ef
51;normativo;range-40_49;femenino;15036;15;323dbdab-1e15-4011-a518-0c00ca838f67
52;normativo;range-30_39;femenino;15036;15;8e45475a-0b74-4232-81b5-55ce4cb06e8a
53;normativo;range-20_29;femenino;15078;15;b78a9369-4596-4b04-9396-59b668af3a44
54;atlantico;range-20_29;masculino;15011;15;58c60320-5f59-41b3-8cc1-5ba2d1e99855
55;normativo;range-20_29;masculino;32054;32;c7283d17-d289-44bd-a4a0-9aeddf727458
56;normativo;range-40_49;femenino;15044;15;352449fb-3c1c-4973-89b7-4b8d551705fa
57;normativo;range-20_29;masculino;15042;15;abb1dfee-2b2c-43ba-b3f4-07056722a2a5
58;oriental;range-30_39;femenino;27902;27;9d12c6dd-5053-42d0-a3d2-f0cba448dc8f
59;neofalante;range-40_49;femenino;27058;27;f06ce66c-cda0-457d-b354-02289c17e639
60;neofalante;range-40_49;femenino;27042;27;26ddb4c6-e18e-4264-b62c-a9111b8757cd
