column1;accent;age_range;gender;location;province;userid
1008;normativo;range-50_59;femenino;27024;27;f42e56a7-fe58-40e3-822a-35875ac41280
1009;neofalante;range-30_39;masculino;36026;36;8fa52fcf-ed2b-4c4a-b237-1edf39a44f9b
1010;normativo;range-30_39;femenino;27057;27;879b5fd5-f2d7-4b41-b7a8-d758c815be1d
1011;oriental;range-30_39;femenino;27057;27;13a47def-4896-4ca2-a544-9275b480bfbf
1012;normativo;range-40_49;femenino;36022;36;32ea4979-37db-404b-bebf-3c564d511867
1013;normativo;range-20_29;femenino;15030;15;76087016-2d94-4412-abc6-4216726db7cc
1014;normativo;range-50_59;masculino;36057;36;809206aa-fab8-4a8f-8ab0-ebb0619a61ca
1015;not-shared;range-40_49;masculino;36038;36;368ea305-c6ab-4c43-9788-c6d3528f8674
1016;normativo;range-40_49;masculino;15004;15;c4294d2e-76cf-4c36-9c81-f5840289472f
1017;normativo;range-30_39;femenino;36057;36;36b80ba3-ff68-423d-abc4-fb12179c65ca
1018;normativo;range-40_49;masculino;27902;27;18a9aa87-2924-42bd-b2d5-a8f3fd9b977d
1019;not-shared;range-30_39;femenino;15030;15;ea3206cd-1734-4cda-845d-74054d2a02ae
1020;normativo;range-70_79;masculino;15036;15;45bcf9f1-3f38-418c-9388-0eb83a6c7d0b
1021;not-shared;range-30_39;femenino;15030;15;24b5d8d8-391d-4501-b923-29b39d997290
1022;normativo;range-50_59;femenino;27038;27;dc4c71d8-0f94-48df-b82c-966e5e2deb08
1023;central;range-60_69;masculino;27013;27;fa348283-ace4-4ec9-bfe2-c35a06f2ef7b
1024;neofalante;range-40_49;femenino;32054;32;eb584a76-a598-4829-9993-451d82aec722
1025;normativo;range-60_69;femenino;15030;15;ab854b88-4a1a-40fa-a083-c4ea90cd24bf
1026;normativo;range-40_49;masculino;15036;15;c02b4186-c6fc-4454-8d4b-cad3f7ce1156
1027;atlantico;range-50_59;femenino;15088;15;e9c2e37e-03ed-4172-908e-92727fd4b2e3
1028;central;range-30_39;not-shared;27016;27;f01c99ce-939d-480f-b897-4bc634f3b71f
1029;normativo;range-40_49;masculino;36057;36;dfa68035-a181-4bd3-bb4d-74907c0ede53
1030;neofalante;range-40_49;femenino;32054;32;45460f4c-8e6d-41f4-80d7-9652912c34fb
1031;normativo;range-70_79;femenino;15004;15;ef7822bd-465f-4b09-a59c-766af8a0e3a7
1032;not-shared;range-50_59;femenino;32054;32;271b08bc-d7d2-4852-95c6-3a53ee62c63e
1033;normativo;range-50_59;masculino;other-location;other-location;fe35fb5d-dee8-4b93-b82a-dd909eae5178
1034;normativo;range-70_79;masculino;27028;27;610794c1-5215-4ece-af9b-2e8330f8ddbd
1035;normativo;range-60_69;masculino;15022;15;21d983bf-e788-497b-a7ad-14ff0fa471fc
1036;normativo;range-60_69;masculino;15022;15;98d78f45-abe1-4b02-bc70-1ccc4a7553ec
1037;normativo;range-40_49;masculino;15004;15;83eb28e8-c799-43da-bc2a-263161a0612c
1038;normativo;range-40_49;masculino;15036;15;b29dbb4a-7365-435a-b562-d53fa0e896ee
1039;oriental;range-40_49;masculino;32092;32;0ae91a76-edca-4cca-91e4-647b4b13df67
1040;normativo;range-20_29;femenino;36057;36;0b234959-84a5-4e73-9291-64b471dd83ab
1041;neofalante;range-50_59;femenino;15036;15;5fb72b0b-3e89-4ee4-975a-b7ba317be5a7
1042;normativo;range-50_59;masculino;27039;27;2858d49a-f708-4962-af80-8c1616fefd93
1043;normativo;range-40_49;masculino;15004;15;96cab9a0-5b69-40d8-8104-aab632c61b7a
1044;neofalante;range-40_49;femenino;15030;15;716c6b6a-57e5-4c30-8cb6-2b285b80d846
1045;not-shared;range-30_39;femenino;15016;15;828753a0-3a44-4091-b5aa-3bb13713ef21
1046;not-shared;range-20_29;femenino;36037;36;e68af1e4-b6b4-426f-ab13-b806343b101c
1047;normativo;range-60_69;femenino;15036;15;1462f677-1598-4f1c-a857-286f2ddd5c8a
1048;normativo;range-60_69;masculino;27013;27;b7b23605-dff9-4d06-9168-1c4d888c2aa7
1049;atlantico;range-20_29;femenino;36004;36;8a2ec90e-f962-4985-ab27-7d33cef64521
1050;normativo;range-40_49;femenino;15036;15;34eee4ed-8c47-4b27-86eb-89b324831907
1051;atlantico;range-20_29;femenino;36004;36;79deb4db-7c4f-4937-a797-d67100865992
1052;normativo;range-50_59;femenino;36057;36;2bb3576e-2793-4163-b9a3-01b26bf0bcf3
1053;oriental;range-30_39;femenino;27046;27;873912f4-b7b2-41d0-ba64-1023bdd2b31f
1054;neofalante;range-40_49;femenino;15054;15;605dc3d2-b1d8-4a0b-923c-71c4110246b3
1055;normativo;range-40_49;femenino;36035;36;fbc5e37c-e131-4904-ba10-674a912185e5
1056;neofalante;range-30_39;femenino;27042;27;44b057ab-9f92-44ad-8183-62331def2bf0
1057;normativo;range-20_29;masculino;36045;36;5d6a28cf-de01-49f3-a690-8446025ce47f
1058;atlantico;range-40_49;masculino;36033;36;c9eace2c-4e0c-4773-9d7d-534dccec4fa5
1059;atlantico;range-20_29;femenino;36004;36;b31911c1-379c-45f5-b7c9-a2ef92c0f0af
1060;not-shared;range-20_29;masculino;15061;15;3865c884-09fe-47c1-bd2f-3a77d9f38589
1061;central;range-40_49;femenino;27042;27;528fd446-3c9a-47ad-b153-b2290e1ed8e0
1062;normativo;range-50_59;femenino;15030;15;818f3f09-764d-417f-9e9e-8f248723cb94
1063;not-shared;range-40_49;nobinario;36055;36;8b194e38-aaca-40ce-8627-1c0b91748ee1
1064;normativo;range-70_79;femenino;15004;15;d08d27af-0768-4d88-869e-68ffa275a1b1
1065;normativo;range-60_69;masculino;36017;36;be01b7b4-8226-4c57-8a7d-08628ae75e04
1066;atlantico;range-20_29;femenino;36004;36;96b30b95-62c9-40f4-93f2-dd5a0cdd290f
1067;neofalante;range-50_59;femenino;27010;27;d3254eef-b013-427a-bcce-b1c5cf0e5576
1068;neofalante;range-40_49;femenino;15030;15;999079f0-8927-42d3-a6dc-00daa8afac88
1069;normativo;range-30_39;femenino;27028;27;e33710b2-721c-48b5-8023-2a55561e86fb
1070;normativo;range-40_49;masculino;15051;15;2d565d2d-54a8-4451-980e-e6a96ad596bb
1071;neofalante;range-50_59;femenino;15030;15;3c7dc984-a456-4954-a358-66842c047364
1072;normativo;range-30_39;masculino;32032;32;ecdb70c2-2516-4469-a183-539277ea91c2
1073;not-shared;range-20_29;masculino;15005;15;f579dd68-f454-4a63-9de5-eeee93066dc7
1074;oriental;range-40_49;masculino;32092;32;64872aba-d05f-4099-bfbd-28f8f2aab3ff
1075;normativo;range-60_69;masculino;15036;15;abcd354f-11e5-4316-a299-95a0925f8c90
1076;normativo;less-19;masculino;36057;36;4a3e28b2-59b0-4622-9b23-15cebcad98e0
1077;normativo;range-30_39;masculino;36042;36;f6bbcd26-b628-4650-a35f-14642fefdf65
1078;normativo;range-40_49;masculino;15004;15;adda2ba7-9dca-4362-9643-a2f01cb3dc60
1079;normativo;range-60_69;masculino;27028;27;f3e85c30-0e03-42f4-8871-0e9ecdee1707
1080;normativo;range-40_49;masculino;15051;15;58027e36-76c6-41e2-8017-307c7f30660f
1081;neofalante;range-30_39;femenino;15030;15;0c39bf55-7c97-4150-9378-c8024efdd807
1082;not-shared;range-30_39;femenino;36038;36;4173d19c-b2e1-4f23-94c6-e0e8fe233d55
1083;normativo;range-30_39;femenino;36057;36;16a926c0-1fcb-4d31-a4f4-0a590bba6bc1
1084;normativo;range-60_69;masculino;27028;27;41c5559f-a32e-4c9a-a529-71f6726dfedc
1085;normativo;less-19;masculino;15078;15;35558694-849f-4133-8f5a-d0747bb47977
1086;oriental;range-50_59;femenino;32032;32;8cce97ff-fe04-4b2a-8d61-5f25215be491
1087;neofalante;range-40_49;femenino;27057;27;820e828b-c0c4-4e0c-84f7-1787e97a06ad
1088;atlantico;range-20_29;femenino;15077;15;5529d08c-26c2-4920-88f3-dea4c9b9a29c
1089;not-shared;range-60_69;masculino;32054;32;ab9caecc-2108-4e16-97b9-83a864f5023f
1090;normativo;range-50_59;femenino;15030;15;b149b2ef-92fe-44b2-b06d-658b2efdf767
1091;oriental;range-40_49;femenino;27051;27;b06b48d2-58f5-4eaa-82f0-f0a1a3c6e6db
1092;normativo;range-40_49;femenino;27010;27;7fcaf776-4916-4c8f-a549-4ccce96ba7a4
1093;central;range-30_39;masculino;15014;15;84dbe365-0b71-4f11-89a2-b58b4df7facb
1094;normativo;range-50_59;femenino;15030;15;b7fdc66b-e6ea-4310-824f-b06eaac32bd7
1095;not-shared;range-20_29;femenino;36029;36;47f603a3-7412-4d2f-ab8d-82486cdb472d
1096;atlantico;range-70_79;femenino;15023;15;db568b5e-5de2-4b6c-9888-fac79c867a1f
1097;normativo;range-40_49;masculino;32054;32;3163ea7e-706f-4c53-9662-9ef45ca2a626
1098;normativo;range-50_59;femenino;15030;15;680056e9-4591-4775-b765-9ad0471ceba9
1099;neofalante;range-20_29;masculino;36042;36;0872ace4-2859-4d6a-a314-61e290c71fea
1100;not-shared;range-40_49;masculino;36029;36;93050310-5f14-4c0a-80bc-b5562d8844f7
1101;normativo;range-40_49;masculino;32054;32;eaf7c95f-a539-4f0d-b1f9-b0ee48f39bb3
1102;normativo;range-30_39;femenino;36035;36;c135ed11-f06f-4ae2-8694-9b85e0e50dab
1103;normativo;range-50_59;masculino;27054;27;d4b40e06-d9c0-4aca-ac48-f1c55b825205
1104;oriental;range-50_59;femenino;27031;27;c8d10587-5f1a-4c03-82d9-44ff8c198e1f
1105;oriental;range-40_49;femenino;27058;27;812c4c73-5c83-4f21-8161-d1bda86d13c2
1106;not-shared;range-20_29;masculino;36057;36;27f720de-82cf-49f7-99fd-8c646bacae11
1107;normativo;less-19;masculino;27014;27;4550423c-84fe-4b7a-b1dd-127c0a4f4ae4
1108;oriental;range-20_29;femenino;27042;27;67bdb7fc-919d-40a9-b373-f48cc7605bc6
1109;normativo;range-40_49;femenino;15001;15;1c769d24-096a-4708-9570-403feaa8c8ad
1110;normativo;range-20_29;masculino;36008;36;49898f9d-532a-4b3c-b9cf-2c7e617b36e3
1111;atlantico;range-50_59;femenino;15057;15;20fca35c-9328-4b5a-94de-b1a4f41986d6
1112;normativo;range-40_49;masculino;36057;36;eb6cce3c-f0b7-4e7e-b55e-895fdf02b838
1113;neofalante;range-20_29;femenino;36057;36;849f5563-d573-462d-b017-83926ccc478a
1114;normativo;range-20_29;masculino;36008;36;0fbf9436-a685-4336-ab07-ac2861f7fe9d
1115;normativo;range-40_49;masculino;15058;15;9b8d22d1-78f8-4420-ac1e-1bedb1c01f1b
1116;not-shared;not-shared;masculino;not-shared;not-shared;2e9a5062-d783-487c-87a7-0aeb43802b71
1117;normativo;range-40_49;masculino;36060;36;7e64383b-1774-4bc2-a653-05cc88f85845
1118;normativo;range-60_69;masculino;36025;36;685d4416-e7f3-4eff-9e5d-ad101c3f27cd
1119;normativo;range-30_39;masculino;15030;15;6c3492ad-ec5f-4ed9-bc13-11f3d2223b86
1120;normativo;range-20_29;masculino;36008;36;00e2ba19-ea35-4e23-83e4-ed293b69bac4
1121;normativo;range-20_29;masculino;36008;36;f798e438-518a-4f95-8026-322192669511
1122;not-shared;range-30_39;femenino;32075;32;934dade2-c8ec-4974-858b-326c37d38d1a
1123;not-shared;range-40_49;femenino;15029;15;42852da0-62c3-4c0c-90f6-14d73715249d
1124;normativo;range-40_49;femenino;36057;36;de300fe9-24e7-481c-870f-40c10e66da63
1125;not-shared;range-30_39;femenino;36002;36;70d5e864-83f2-4544-ba39-9268ba7cda0f
1126;not-shared;range-30_39;femenino;36038;36;1c6523ba-815a-410a-837d-eb3ea0205f48
1127;normativo;range-50_59;masculino;27901;27;367f2a57-9176-43e0-8bae-555786b1a5a0
1128;normativo;range-40_49;femenino;15030;15;96ad49b9-235a-49c9-9cd0-18efd6a968a5
1129;normativo;range-60_69;femenino;36038;36;98343710-3b6b-4d57-a860-e67862d1ccbd
1130;normativo;range-50_59;femenino;36057;36;7b915935-8390-4fd4-83b6-b1d132c4f389
1131;normativo;range-60_69;masculino;15030;15;bfe80be8-1040-49e0-ac95-8e0267984e39
1132;normativo;range-40_49;masculino;36057;36;6af344e6-9f6f-4b70-8184-d39119d314ef
1133;normativo;range-40_49;masculino;36057;36;4fbf99eb-f133-4717-a7ce-39cb25e3b8b6
1134;normativo;range-30_39;masculino;15078;15;701b77fc-168e-46fb-81c6-ddfcd9c4d41c
1135;neofalante;less-19;masculino;36057;36;9e7beb77-e7ce-4d4f-9664-a5957b9f9f92
1136;neofalante;range-60_69;femenino;15078;15;5b26c81a-c6a9-4d44-9e68-d33e1eca442b
1137;normativo;range-30_39;femenino;15078;15;9bd78e04-28ae-4304-a9ce-a7014b9be0e4
1138;normativo;range-30_39;femenino;36057;36;a881bb36-8606-4fc0-8ccf-a1fe99d85dfe
1139;not-shared;range-20_29;masculino;36057;36;4c412821-0bd1-49de-b6ad-f37608745837
1140;atlantico;range-20_29;femenino;15037;15;e8d47330-4b3d-4745-b568-38864bb98771
1141;normativo;range-20_29;femenino;15037;15;5b47f7e6-7967-4757-91d7-401169fe5f8e
1142;atlantico;range-60_69;femenino;36057;36;6894583e-04f5-4c06-b356-7151bf766158
1143;central;range-60_69;masculino;15089;15;2874e939-b8ec-4d8c-8bc5-12409e74e620
1144;neofalante;range-40_49;masculino;15078;15;a6c81244-089d-4ec7-a606-90f13398b60f
1145;neofalante;range-40_49;masculino;15078;15;7b689d68-605c-41fc-a24a-2c5dec6ca37e
1146;oriental;range-40_49;femenino;15012;15;ed52e263-fcca-4369-9ac0-9a8ab0a7ea11
1147;central;range-30_39;femenino;36018;36;7325ea5d-44e2-4ed0-b905-23eeeed652ae
1148;atlantico;range-40_49;femenino;15016;15;4fb83971-a3b3-4498-9cb0-8b514a366107
1149;not-shared;range-50_59;femenino;15030;15;3bd45f42-f7b5-4d37-bc4d-f5458b695b10
1150;normativo;range-20_29;masculino;27042;27;24f0dc7b-0025-491e-b0c1-c412fa38ffae
1151;central;range-60_69;masculino;15089;15;f2692ca3-0fd1-4495-9fc9-468891b9b0f4
1152;neofalante;range-30_39;masculino;36057;36;fb83da2b-c7e0-4a14-a4fc-7d2f46c66aa3
1153;neofalante;range-40_49;femenino;32054;32;b40e2b88-65db-4d09-8714-5cca50ce6f5b
1154;normativo;range-20_29;masculino;27042;27;06ff2758-125c-4982-b82f-4606b7ee2a2c
1155;central;range-50_59;femenino;15082;15;1ef68e49-e06f-4f9e-84a1-6071f587cfab
1156;normativo;range-50_59;femenino;36057;36;f19646c3-a8ee-45ae-9e8f-5dc2e0129a2b
1157;normativo;range-70_79;masculino;36003;36;711c8ae5-69bb-4391-b04a-5847f37d1ef8
1158;normativo;range-50_59;femenino;36057;36;a90d3573-00b7-48d9-be42-a1f9eeaf7295
1159;normativo;range-20_29;femenino;15078;15;f269468b-2e35-476e-bbfa-b39d7034b83c
1160;normativo;range-40_49;masculino;15004;15;b6cd392d-6f3a-4b73-a4a1-0c211873cd3f
1161;oriental;range-20_29;femenino;27057;27;87525449-f033-4979-952e-b587ef5cec87
1162;atlantico;range-60_69;masculino;15036;15;532adf03-a424-4eb9-972c-0cf25b4c1f7e
1163;normativo;range-30_39;femenino;15036;15;ca3fd3ab-eb07-47a8-8ece-fd5d94680c5b
1164;oriental;range-50_59;femenino;32009;32;dedf0f4b-d78d-4294-a86b-4c6a67f0757d
1165;normativo;range-20_29;femenino;15060;15;1c83674a-0a2e-48f7-b9ee-3f8d50960060
1166;normativo;range-40_49;masculino;32054;32;1cc85f3d-7393-428f-8ba8-9440db4618b8
1167;normativo;less-19;femenino;15030;15;1c4f85cb-9a33-464c-920c-d435de24dabe
1168;normativo;range-60_69;masculino;36057;36;6ba2cb93-dc3c-4a12-b492-a79203a9b1b7
1169;atlantico;range-30_39;femenino;15052;15;c41c2ffe-f4fe-4599-a7ee-ad04cd5a5d97
1170;normativo;range-40_49;masculino;32054;32;33cba63a-2535-4e3d-9165-96b47054d3bb
1171;normativo;range-20_29;femenino;27042;27;04f4cbe1-39bd-4413-8f0e-fca514454cde
1172;normativo;range-20_29;masculino;36057;36;22af0380-1632-4bd7-b9d7-bafb2a2b0a99
1173;neofalante;range-40_49;femenino;other-location;other-location;c45182e5-b9e6-46b4-8673-749e42a5d852
1174;normativo;range-40_49;femenino;15030;15;bdce35de-6bf8-4106-864a-9d628e701ba1
1175;neofalante;range-60_69;masculino;15036;15;8e8e45f6-ccce-4a56-8a1a-4b4272577c2e
1176;normativo;range-20_29;masculino;15078;15;392e4bbf-9295-46e4-91c5-9cb40583a04e
1177;neofalante;range-40_49;femenino;15054;15;dd315378-779e-447e-b887-d49ff185b3c9
1178;normativo;range-40_49;femenino;15030;15;335372b7-eac2-470b-a025-db425d9776f9
1179;not-shared;range-20_29;femenino;15030;15;0532ea37-9d43-488c-af9f-400d2e5015a7
1180;normativo;range-20_29;masculino;15078;15;76bebbda-3ae3-4d06-be2f-d29d6443d6a4
1181;neofalante;range-40_49;masculino;15054;15;789bc217-56bf-485c-913a-0a5248283253
1182;normativo;range-20_29;femenino;27042;27;36a362c0-bff7-4ff2-a4d2-e26dfb7220a5
1183;atlantico;range-40_49;masculino;36008;36;977d3f54-9cb6-4954-8667-28b8c2414cd0
1184;normativo;range-20_29;femenino;15030;15;476ea404-0876-4229-928d-be02a962beaf
1185;normativo;range-50_59;femenino;15057;15;5b666982-3694-485c-b1cf-3460aace79e1
1186;neofalante;less-19;femenino;15030;15;947f8930-f0ec-464b-9568-8cd25b40d9be
1187;normativo;range-20_29;femenino;36057;36;5f6d3d12-6eb9-48e2-a0a1-2791f0e3c0aa
1188;normativo;range-40_49;masculino;15046;15;fea3b02d-68bf-4cbf-897b-bb3a4bf0bcf1
1189;normativo;less-19;masculino;36057;36;d6cb119c-7729-4e2a-b4a9-ed5d6d089f86
1190;atlantico;less-19;masculino;15078;15;2cc4b522-3e7e-49f5-ba93-bd5c47b70c90
1191;normativo;less-19;masculino;other-location;other-location;c6643e53-5e9d-49fb-8e70-c10ff24e8c48
1192;atlantico;less-19;masculino;15078;15;b7ac8e2b-f1fe-4961-b9b5-388bec205c20
1193;normativo;range-70_79;masculino;32032;32;26cb66dc-a5c7-428a-b9e8-179f20704aea
1194;neofalante;range-40_49;masculino;36057;36;e51b0135-8c85-4da2-aeea-6ff4b5d73bbe
1195;not-shared;range-20_29;masculino;36003;36;777c2981-1438-4550-ba4e-fac19721be1f
1196;normativo;range-40_49;masculino;36057;36;16403d0b-3601-4f3d-9239-3f4101d2a7d7
1197;oriental;range-40_49;femenino;27005;27;f40e5c63-fc36-4175-8eb6-ff53141de4b9
1198;atlantico;range-30_39;femenino;15067;15;7c213eae-047c-43f1-ac62-8debb1f1d8e3
1199;central;range-30_39;masculino;36024;36;c10d823d-7a6e-4926-bff9-c691b785d0c3
1200;normativo;range-40_49;masculino;15046;15;219c4b7f-7fa9-4381-84b4-e6d6706bd1c8
1201;normativo;range-60_69;masculino;36061;36;fb8d2968-d5be-424a-b150-b107d1953801
1202;normativo;range-20_29;femenino;15002;15;320c28e9-fd3c-4a43-8c1c-85b1b19aabf7
1203;neofalante;range-20_29;femenino;36026;36;a407d3fa-4f50-40bb-b5b2-cc87f5e1330b
1204;not-shared;range-50_59;masculino;27028;27;5a198f4d-7ebf-44ea-8c84-86ced42b685a
1205;normativo;range-70_79;femenino;15085;15;1d070db5-4552-4bb7-bc8d-fb0fdce65874
1206;normativo;range-40_49;masculino;36057;36;bdc63912-14f4-42a8-82c8-beb3c85d0888
1207;neofalante;range-20_29;femenino;36026;36;a6abcdec-4fee-4d63-a244-8928b790ff8f
1208;neofalante;range-20_29;femenino;36026;36;9a3073e3-be92-44b6-a7ff-c5522ec9d303
1209;normativo;range-30_39;masculino;27057;27;d31cd350-f7b1-4c12-8e38-695c6f8ee90d
1210;neofalante;range-20_29;femenino;36026;36;c612a963-ce39-497d-83f8-1fb23ce12e08
1211;oriental;range-40_49;masculino;27016;27;b78975f0-64d1-4dc5-852a-9230581eaf5f
1212;neofalante;range-40_49;femenino;15030;15;b2c1efd9-025b-4329-93ae-648768b92983
1213;central;range-60_69;femenino;36024;36;ff5f127e-785c-4258-8a9f-f92c87ac8782
1214;neofalante;range-20_29;nobinario;15030;15;a460354b-075e-4843-841f-6781cdc85f1f
1215;not-shared;range-60_69;femenino;27005;27;ff3974d9-b3b1-4d1d-b38e-d9051242de8c
1216;normativo;range-30_39;masculino;27028;27;48a03ecb-7a68-45b2-878f-512b4606a5f2
1217;central;range-40_49;femenino;36018;36;0ec8e8eb-f5ac-41d5-a9ad-f443b238f00c
1218;normativo;range-40_49;masculino;15004;15;981589a3-4538-49aa-afc4-d6a17a75bfb7
1219;normativo;range-40_49;femenino;15030;15;90d190d8-f5a4-4e15-a8c6-e0382f79d8c4
1220;neofalante;range-40_49;femenino;36057;36;dfccc499-2a9d-4d71-9ee9-b2dde7cae8a5
1221;central;range-20_29;nobinario;15002;15;57ccd560-894e-47cf-8d43-5f623c2c7797
1222;atlantico;range-30_39;femenino;15019;15;1958e6d9-fbb3-4137-8193-ae0dc9b6b5ba
1223;atlantico;range-30_39;femenino;15019;15;37fe8fa2-2c7b-4307-b6ff-1ac044f1ad68
1224;oriental;range-20_29;masculino;32059;32;796ca279-9235-4130-95ce-e4edd5d7dc72
1225;oriental;range-40_49;femenino;32002;32;f9fcb8e1-2b75-4d58-9b27-3422000bd25a
1226;normativo;range-50_59;masculino;27008;27;3f46c37b-b16b-49c4-af7c-5ff6b5051a3a
1227;normativo;range-40_49;femenino;36057;36;f0028933-f767-4a5a-a45f-5de0807944e9
1228;normativo;range-20_29;femenino;27011;27;5bfe82cc-3d72-4ba8-88f2-5f1a509b3488
1229;oriental;range-30_39;femenino;27031;27;8954f886-a9ec-4239-9bec-8b892a4f18b1
1230;atlantico;range-60_69;masculino;15072;15;c3540191-fdfc-42e0-8f03-71fb7a2c0a77
1231;atlantico;range-20_29;masculino;36057;36;48499543-b937-40e8-98a6-ae8ac1d04fd5
1232;normativo;range-30_39;femenino;15012;15;e207e396-a7fa-413c-bb25-91f312585372
1233;not-shared;range-50_59;femenino;32012;32;c501afa0-4c86-4052-8e20-2b5fdb72fc32
1234;normativo;range-40_49;femenino;15030;15;5a023459-6ea6-428f-aa90-ec258b6a348e
1235;normativo;range-40_49;masculino;15005;15;dd2b0801-0779-4eae-b5ca-f4d840790544
1236;normativo;range-30_39;masculino;15048;15;558012ba-f91e-4737-beb6-2e347b700be6
1237;neofalante;range-30_39;femenino;36026;36;a487e582-3f55-4b91-94cf-e4f87781598b
1238;not-shared;range-50_59;femenino;36057;36;511d0e08-8db7-42b6-95cf-6ccf42eb725e
1239;neofalante;range-20_29;masculino;15058;15;400df0a6-f9e5-4043-b036-22a210c4306d
1240;normativo;range-30_39;femenino;15012;15;67e89d9f-93d6-4a22-9ea5-589922ff8a30
1241;atlantico;range-60_69;masculino;15072;15;04d9365a-de9f-478f-b6db-35387dc8ea3b
1242;neofalante;range-40_49;femenino;36050;36;8926fba4-fe4a-4979-b533-d31dd96d6b20
1243;central;range-60_69;femenino;36052;36;a0d4c2fe-b4c4-418c-8122-03a82bfe1bd4
1244;not-shared;range-20_29;femenino;27065;27;5b2bfa13-addb-43ea-8e1f-dec8d989a0e5
1245;normativo;range-30_39;femenino;15012;15;8706e38c-ccf2-4482-ad22-ebf3a1b242e5
1246;central;range-40_49;masculino;27042;27;44be49e0-298a-4f03-9a40-8d6359b925ae
1247;neofalante;range-40_49;femenino;32054;32;754296d2-ea27-4f2c-831f-cfca01bcc3f2
1248;neofalante;range-40_49;femenino;32054;32;42508569-140d-4f50-8c21-7cabae66f2c4
1249;neofalante;range-20_29;masculino;15058;15;dd019fe6-e6b6-45bc-b4e8-18a179d4b05c
1250;neofalante;range-20_29;masculino;15058;15;7b28a7de-5579-4b23-a2de-9b80a6125acf
1251;neofalante;range-20_29;masculino;15058;15;7e86dca3-52a1-4f84-ae65-15d7fd6d340b
1252;neofalante;range-20_29;masculino;15058;15;6908ee2f-e589-4f33-97b5-b504e5ee96a2
1253;neofalante;range-20_29;masculino;15058;15;03f1632a-5a1b-4853-b102-6060124e9439
1254;neofalante;range-20_29;masculino;15058;15;c49522e7-1b71-472a-bced-17a480acc53a
1255;neofalante;range-20_29;masculino;15058;15;aeb1d626-d5eb-4fd5-96c5-ee6573575b0e
1256;neofalante;range-20_29;masculino;15058;15;d857d144-e733-412b-8c17-0a849ded756d
1257;neofalante;range-20_29;masculino;15058;15;3c31849c-1687-4781-83d1-21d57333377a
1258;neofalante;range-20_29;masculino;15058;15;fbbf0b84-03cf-457e-a1fb-215e441b1345
1259;neofalante;range-20_29;masculino;15058;15;e02cbaa3-2636-47fc-84cd-5a632aaed466
1260;neofalante;range-20_29;masculino;15058;15;c0cf0439-2f77-4ab8-8c9c-3a55292b0e8b
1261;neofalante;range-20_29;masculino;15058;15;ad2ac372-6c53-49a7-afb4-3063361fce5f
1262;neofalante;range-20_29;masculino;15058;15;b87a08de-1f78-4cc7-bc60-db5de32e8040
1263;neofalante;range-20_29;masculino;15058;15;127e515d-6ff4-4354-a06d-7c459f6c4a9a
1264;neofalante;range-20_29;masculino;15058;15;ab372c90-0777-4d1f-a8e6-3d468a08c58d
1265;neofalante;range-20_29;masculino;15058;15;d85cdc68-7eb0-47d9-a5c6-efba8f3ac4ed
1266;normativo;range-50_59;femenino;15031;15;1d0a505c-3fdb-4f5c-bc18-01279058f31c
1267;oriental;range-30_39;femenino;36016;36;027f82ae-6aa3-4dcd-872a-860aed52baa9
1268;normativo;range-50_59;femenino;15057;15;9c1b7138-072f-443c-9f60-d86fd5b22e3c
1269;oriental;range-20_29;masculino;27028;27;c7c83c4b-e12f-44e5-ba7c-02facb99d0f3
1270;normativo;range-50_59;femenino;27051;27;2aea9356-55fa-47f1-ad2b-0fed9c64a1c7
1271;oriental;range-70_79;masculino;27065;27;2cd418c6-24f0-4c99-a399-9e398787fbcf
1272;not-shared;range-60_69;masculino;32042;32;828a33aa-dc84-4da3-9ffa-aebaba19a5e9
1273;not-shared;range-40_49;masculino;15058;15;415df674-e63d-4ab5-bf09-5d1449b55841
1274;oriental;range-50_59;masculino;27041;27;11fe9523-eb55-4571-8555-1acc88e99d65
1275;normativo;range-20_29;femenino;15030;15;f4e4c57e-ed60-4c55-bade-9e47606e36f0
1276;not-shared;range-30_39;masculino;15091;15;86319958-b667-4e7c-8640-43ce69cfaba6
1277;normativo;range-40_49;masculino;36057;36;b46730fe-2b65-43db-9d66-fbbfce3baa76
1278;oriental;range-20_29;masculino;27028;27;46016e09-e73f-4389-910d-2cbd3e427dbc
1279;central;range-60_69;masculino;15017;15;6fe9389d-8db1-4617-ae92-a7851e6ec498
1280;atlantico;range-60_69;femenino;15078;15;905d0fa4-d56b-472f-9f92-6588d4da916b
1281;atlantico;range-30_39;masculino;36044;36;479b9b8f-9abf-4eae-84ea-af0fc272fc8e
1282;neofalante;less-19;femenino;36040;36;678e62fd-d68b-4db1-9267-a8b8cadc5e63
1283;oriental;range-20_29;masculino;27028;27;754cd59c-ee2f-4020-86e6-9fe20fa82af5
1284;normativo;range-30_39;femenino;15030;15;9852e9d7-ee55-4a59-97d6-6bfe39a07404
1285;normativo;range-50_59;femenino;15057;15;5fa9a18f-251f-4de2-9d16-2088d1e64651
1286;normativo;range-40_49;masculino;15004;15;be48f509-cd75-4067-86ce-62be49f72d65
1287;atlantico;range-30_39;femenino;15020;15;416afc06-e9a9-47ce-a4b7-51d995dffe84
1288;normativo;range-20_29;femenino;15011;15;5adb58c7-21db-4f55-b57f-e36b5df42227
1289;normativo;range-50_59;femenino;36038;36;c941281f-0436-448b-b0bf-2390fe7d05f6
